file,sha256,visual_result,audio_heard,source_bvid,source_page_url,frame_evidence,note
accepted/src_04_11.94-16.76.wav,a0637b1fcd4a16891e79a4e91a5737510a2bc9494d7bae619903968562dadd04,target_visible,no,BV1H24y1j7ev,https://www.bilibili.com/video/BV1H24y1j7ev/,13.24-16.24 奶龙近景张口；既有视觉真值 #6,画面支持目标角色；需听音核对台词和残留
accepted/src_05_3.54-7.70.wav,a4abb91834a542c43d1fa4e338ef9b6f016ad7cc722d5bf2d896a03802d48c34,target_visible,no,BV1JT411a7Tv,https://www.bilibili.com/video/BV1JT411a7Tv/,3.64-7.24 奶龙张口；小七发言始于片段末尾之后,画面支持目标角色；字幕与转写有出入，需听音
accepted/src_07_8.12-15.14.wav,366dc4e2c4f7ec202e22edf234ae5cbd9fba3a4d0023bcb3961c0b70443db212,partial_visual,no,BV1ba4y1574U,https://www.bilibili.com/video/BV1ba4y1574U/,匹配视频仅覆盖源 11.35s 以后，11.82-15.14 奶龙可见,片段前约 3.2s 缺画面，需听音及补视觉
accepted/src_10_31.84-39.66.wav,8af206279f59949464ee36011d9450b3d661f62b77422ecff247131e82f73e7a,mixed_speakers,no,BV1qu411Y72r,https://www.bilibili.com/video/BV1qu411Y72r/,35.54-39.14 奶龙、橙色角色和小七轮流出现在字幕台词下,跨角色对白，整段不适合作为单一说话人样本
accepted/src_13_28.38-32.96.wav,c9d0bbef1e3e6b0cc6d9d9ee6e439840fea1813126429ebd5f7fb8311d4f03cb,target_visible,no,BV1C14y1S7Gh,https://www.bilibili.com/video/BV1C14y1S7Gh/,28.48-31.48 奶龙近景张口，字幕为“是我吃！不是你吃！”,画面支持目标角色；当前转写“是我去”有误，需听音校准
accepted/src_16_2.14-6.18.wav,a01df8bcb1d8036bb77c2dfbe6835382a91ac3973ef772237ffd2a3b596b8cbb,mixed_speakers,no,BV1f84y1M7Vu,https://www.bilibili.com/video/BV1f84y1M7Vu/,2.24 小七张口；3.44-6.18 奶龙说 Surprise,片段跨小七和奶龙发言
accepted/src_16_29.36-35.32.wav,fc9a46f0ca6f90c39430b744934ef61f1b458194f6eea83f360305dcbdb8b623,mixed_speakers,no,BV1f84y1M7Vu,https://www.bilibili.com/video/BV1f84y1M7Vu/,29.46-31.26 奶龙张口；31.86-35.32 小七持手机发言,片段跨奶龙和小七发言
accepted/src_17_2.16-5.42.wav,b0977cdab4f1d85b3c2633d1d6adf73fad73efd5a921f679810a7db550c1b91a,target_visible,no,BV1Xu411Y733,https://www.bilibili.com/video/BV1Xu411Y733/,2.26-5.26 奶龙向蜗牛说话，字幕为“好久没见了，是不是要庆祝一下”,画面支持目标角色；需听音
accepted/src_17_8.26-14.92.wav,24b0e7b3d904386eb136bb137aa1c79edef18506105837d3a23ff86c5550a8fb,mixed_speakers,no,BV1Xu411Y733,https://www.bilibili.com/video/BV1Xu411Y733/,8.36-8.96 蜗牛张口；9.56-14.36 奶龙回应,片段跨蜗牛和奶龙发言
accepted/src_18_22.10-26.36.wav,58a92a69eb1ad403b53e30a1d0a0ad1b96b98acbc69cfcdc96646f3acc444cb8,uncertain,no,BV1KV411u7pg,https://www.bilibili.com/video/BV1KV411u7pg/,22.20-25.80 奶龙、蓝色角色和小七同场；字幕跨多个镜头,无法凭画面确认全段仅奶龙发言，需听音
accepted/src_18_46.12-50.22.wav,576b16fec4be406aa9e34707bec76e40edce17ea27dacd02557d8cc6731a0800,uncertain,no,BV1KV411u7pg,https://www.bilibili.com/video/BV1KV411u7pg/,46.22-49.82 奶龙与小七同场，画面叠加英文文字,需听音核实发言归属和叠加声音
accepted/src_19_10.58-14.64.wav,28b66e8dc7468e19f236166c44e19e7eb080d75ac63c4e721102356fefcbe036,target_visible,no,BV1hM411T7ev,https://www.bilibili.com/video/BV1hM411T7ev/,10.68-14.28 奶龙对鳄鱼张口说话,画面支持目标角色；需听音
